epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.3071,0.93984,0.15782,0.66777,5.24485,0.000299013,0.000299013,0.000299013
2,68.1815,0.46544,0.1618,0.66578,6.61456,0.000542414,0.000542414,0.000542414
3,102.577,0.45561,0.16645,0.67772,7.03842,0.000725821,0.000725821,0.000725821
4,134.377,0.41909,0.1691,0.67042,7.70021,0.000639027,0.000639027,0.000639027
5,166.184,0.38282,0.16711,0.68103,8.0441,0.000549036,0.000549036,0.000549036
6,197.922,0.35399,0.1691,0.68767,8.42836,0.000459045,0.000459045,0.000459045
7,230.286,0.34881,0.17241,0.67042,8.3222,0.000369054,0.000369054,0.000369054
8,262.492,0.31268,0.17507,0.67905,8.10335,0.000279063,0.000279063,0.000279063
9,293.775,0.27865,0.17838,0.68037,8.18269,0.000189072,0.000189072,0.000189072
10,325.336,0.28688,0.17241,0.66777,8.36862,9.9081e-05,9.9081e-05,9.9081e-05
