epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.3425,0.93552,0.15849,0.69231,5.09972,0.000299013,0.000299013,0.000299013
2,76.6966,0.48681,0.16048,0.67639,6.8044,0.000542414,0.000542414,0.000542414
3,109.003,0.45676,0.16844,0.67971,6.11806,0.000725821,0.000725821,0.000725821
4,140.537,0.43947,0.16777,0.68833,7.22922,0.000639027,0.000639027,0.000639027
5,172.071,0.37805,0.16578,0.67971,7.68025,0.000549036,0.000549036,0.000549036
6,204.069,0.39791,0.17042,0.67838,7.66344,0.000459045,0.000459045,0.000459045
7,236.001,0.37015,0.1744,0.66711,7.71147,0.000369054,0.000369054,0.000369054
8,268.019,0.35685,0.17573,0.66976,7.77925,0.000279063,0.000279063,0.000279063
9,299.638,0.31384,0.17374,0.6691,7.83464,0.000189072,0.000189072,0.000189072
10,335.737,0.31707,0.17573,0.67772,8.12594,9.9081e-05,9.9081e-05,9.9081e-05
