,precision,recall,f1-score,support
Class_0,0.9591836734693877,0.94,0.9494949494949495,150.0
Class_1,0.935064935064935,0.96,0.9473684210526315,150.0
Class_2,0.9722222222222222,0.9333333333333333,0.9523809523809523,150.0
Class_3,0.9533333333333334,0.9533333333333334,0.9533333333333334,150.0
Class_4,0.9466666666666667,0.9466666666666667,0.9466666666666667,150.0
Class_5,0.954248366013072,0.9733333333333334,0.9636963696369637,150.0
Class_6,0.9671052631578947,0.98,0.9735099337748344,150.0
accuracy,0.9552380952380952,0.9552380952380952,0.9552380952380952,0.9552380952380952
macro avg,0.9554034942753588,0.9552380952380951,0.9552072323343329,1050.0
weighted avg,0.9554034942753588,0.9552380952380952,0.9552072323343331,1050.0
